textID,text,selected_text,sentiment,start_idx,end_idx,start_pred,end_pred,predictions,jcd_scr,res
a655fbb5eb,"Aww, I love my daddy! He works 7 days a week almost all day and still tries to go to SF with all of us",I love my,positive,7,9,7,8, i love,0.6666666666666666,0
401869d615,graduation is done  im a little sad.. anyone want to hang out???,sad.,negative,10,11,10,11, sad..,0.0,0
9843c4688e, hahaa your awesomee !,hahaa your awesomee !,positive,4,9,7,8, awesomee,0.25,0
af90ad5989," Poor you  Get outside and sleep in the garden, the sun will do you good. But don`t forget suncream!!!",Poor you,negative,4,5,4,4, poor,0.5,0
6649f3558c, Not a prob hun,Not a prob,positive,4,6,4,7, not a prob hun,0.75,0
94f67cfa6d, hey mia!  totally adore your music.  when will your cd be out?,y adore,positive,8,9,8,9, totally adore,0.3333333333333333,0
974b35f889, =O you need to ask him something? Lmao I love him too,I love him too,positive,16,19,16,17, i love,0.5,0
b495300bbf, those splinters look very painful...but you were being very heroic saving mr. Pickle,painful.,negative,9,10,9,10, painful...,0.0,0
6903cb08f2, Nice to see you tweeting!  It`s Sunday 10th May and we`re celebrating Mother`s Day here today. So be nice to yer Mom,e nice,positive,31,32,4,4, nice,0.5,0
1996048e7a,decided 2 trans frm relaxed 2 natural hair but i wish my whole head looked like my roots.  Age of the instant gratification....,i wish,positive,14,15,15,15, wish,0.5,0
cb1b0d191d,"missed all the awesome weather, because she was in a movie!","missed all the awesome weather,",negative,4,9,4,4, missed,0.2,0
254546cd2c," What`s sad is that I actually had to google that term. That sucks, tho.","That sucks, tho.",negative,18,22,4,22," what`s sad is that i actually had to google that term. that sucks, tho.",0.25,0
48cdcd5f28,Car-warmed Sprite tastes like sore throat,Car-warmed Sprite tastes like sore throat,negative,4,12,11,12, sore throat,0.3333333333333333,0
11c10e3fc5," She`s unassuming and unpretentious. She`s just, as. I suppose that`s why she`s so endearing--because we can relate to her",endearing-,positive,31,33,31,33, endearing--,0.0,0
960bbdc0c3,goooooddd morning tweets!!  week three OF my workout. did i mention i got my new glasses yesterday?!?,goooooddd morning tweets!!,positive,4,10,4,7, goooooddd,0.3333333333333333,0
fd285fe74a, me too. I hate my computer so much..,hate,negative,8,8,7,13, i hate my computer so much..,0.16666666666666666,0
5f93cc70ff,Bugger. forgot I still have washing in my machine,Bugger. forgot I still have washing in my machine,negative,4,14,4,6, bugger.,0.1111111111111111,0
e4e9b8713a,My back hurts...really bad,.really bad,negative,7,9,4,9, my back hurts...really bad,0.2,0
c78bf59e67,  #lichfield #tweetup sounds like fun  Hope to see you and everyone else there!,p sounds like fun,positive,10,13,13,13, fun,0.25,0
5e4eac2b2e, its the best show EVER!,its the best show EVER!,positive,4,9,6,6, best,0.2,0
557e676fe4, I miss my neice  can`t wait to see her bad n grown ****! Lol,miss,negative,5,5,4,5, i miss,0.5,0
9d3a1e0269,really hopes her car`s illness is not terminal...,illness,negative,10,10,10,14, illness is not terminal...,0.25,0
417176c08e,who watched X-men origins: wolverine? i totally loved it! haha,i totally loved it!,positive,15,19,15,17, i totally loved,0.75,0
8407ac30b0, I`m sad that I missed you guys last night!,sad,negative,7,7,4,7, i`m sad,0.5,0
32e4ffe225,_420 why baby?,why baby?,neutral,6,8,4,8, _420 why baby?,0.6666666666666666,0
a0a306868a,lost my tooth 2day whilst i was eating gum...oww,oww,negative,15,16,4,16, lost my tooth 2day whilst i was eating gum...oww,0.0,0
9b11b686ec,happy 1 year! <3,happy 1 year! <3,positive,4,9,4,4, happy,0.25,0
7e7bc11e45,"Oh, I HELLA forgot to say my official good morning  Like to hear it? Here it go! Goooooooooooood Morrrrrrrrning Twitterville! Lol",Goooooooooooood Morrrrrrrrning,positive,25,34,25,28, goooooooooooood,0.5,0
38271074d1,I`m starving!! This diet is killing me but I can`t eat after 8pm,This diet is killing me,negative,9,13,12,13, killing me,0.4,0
f0db54f5bf,im soo bored...im deffo missing my music channels,bored..,negative,7,8,7,8, bored...,0.0,0
e651d415c6, nite nite bday girl  have fun at concert,e fun,positive,11,12,12,12, fun,0.5,0
931a866d3f,"Had nicotine replacement patch on for 4 hours. So far, so good, but I did sleep for most of those 4 hours. Getting a bit twitchy now","So far, so good, but I did sleep for most of those 4 hours. Getting a bit twitchy now",neutral,13,35,4,35," had nicotine replacement patch on for 4 hours. so far, so good, but i did sleep for most of those 4 hours. getting a bit twitchy now",0.782608695652174,0
a6fccce9db,should be sleeping.  lost my voice a couple day ago.,lost my voice,negative,8,10,8,8, lost,0.3333333333333333,0
e6ee6826df,I AM SUCH A CREEPER  I feel disappointed because of it. **** my cyberstalking skills   the internet = no more privacy.,I AM SUCH A CREEPER  I feel disappointed because of it. **** my cyberstalking skills   the internet = no more privacy,negative,4,29,13,13, disappointed,0.05,0
1b13ed8b4b,im thinking that im going to have fun tonight....and maybe some changes are coming,going to have fun,positive,8,11,11,11, fun,0.25,0
375e74d063," Haha I know, I cant handle the fame!  and thank you!",d thank you!,positive,14,17,15,17, thank you!,0.6666666666666666,0
e5c6a6bb5a, yes! sober HAHAHA tanghaling tapat dude! haha WILD. i don`t knowwww  plan plan  before you go to US!,HAHAHA,positive,7,9,6,9, sober hahaha,0.5,0
4f84bea1cc, We never miss ICarly - my son has a huge crush on Miranda,crush,positive,16,16,4,16, we never miss icarly - my son has a huge crush,0.09090909090909091,0
242d92151a,Walking to class. I hate not having a bike....especially mine.,I hate not having a bike..,negative,8,14,8,9, i hate,0.3333333333333333,0
1d6411e9dd,"failed inspection. Did you know you can pass wo/oven, but not wo/anti-tip bracket, which is only sold w/oven? This is worse than taxes.",This is worse than taxes.,negative,34,39,4,39," failed inspection. did you know you can pass wo/oven, but not wo/anti-tip bracket, which is only sold w/oven? this is worse than taxes.",0.23809523809523808,0
151c10cc39,"JONAS BROTHERS - Live to party.                It`s rocking so hard     I love the song,",JONAS BROTHERS - Live to party.                It`s rocking so hard,positive,4,18,19,23," i love the song,",0.0,0
9a6f4d05d5,"35mins through the 1hr 20mins Google Wave demo, that looks a lot of fun, would love to test it though.  http://bit.ly/WnMSc",would love to test it though.,positive,23,29,21,22," fun,",0.0,0
8f3e73cf09,"Screw the reviews, I thought Wolverine was awesome. But not enough Dominic Monaghan for my liking.",I thought Wolverine was awesome.,positive,8,15,14,15, awesome.,0.2,0
85ec413e54, http://twitpic.com/4jaz5 - Cool... luv it,luv,positive,19,20,19,21, luv it,0.5,0
7df7221145,  that`s why I need to be there...To represent the Blackberries,that`s why I need to be there,positive,4,12,4,18, that`s why i need to be there...to represent the blackberries,0.5454545454545454,0
6402e14398,"Wolverine Was BOSS! Seriously, And Will.I.Am Was In It, What The **** ??","Seriously,",negative,10,11,22,24, what the ****,0.0,0
77ba0fee75,  #powerblog What is this powerblog challenge you keep talking about?  I`m a newbie follower,g What is this powerblog challenge you keep talking about?  I`m a newbie followe,neutral,6,24,4,24, #powerblog what is this powerblog challenge you keep talking about? i`m a newbie follower,0.75,0
96a4ce0d47,almost died. Laptop screen was set to 100% brightness after I reinstalled Windows Vista. Got a headache now  #insanedefaults,died.,positive,5,6,4,6, almost died.,0.5,0
799f65f193, Yes it does. Please dont` go. If you die I will cry.. which normally leads to small animals getting harmed,g harmed,negative,26,27,27,27, harmed,0.5,0
d06582e26d,writing report cards  soooo tired but what an amazing day. check it out on fb soon!,what an amazing day.,positive,11,15,13,13, amazing,0.25,0
97334eb7c0,"Well good morning all, What a wonderful day in the neighborhood  Thanks for all those that are now following another 60 this morning","Well good morning all, What a wonderful day in the neighborhood  Thanks for all those that are now following another 60 this morning",positive,4,27,11,11, wonderful,0.045454545454545456,0
e1546f901a,FTSK and Mercy Mercedes were amazing tonight.. as always,were amazing tonight..,positive,11,14,12,12, amazing,0.3333333333333333,0
dbbbbe6059,"thank you for teaching me values and to be a better person each day  I LOVE SO MUCH, YOU`RE THE BEST MUM IN THE WORLD",thank,positive,4,4,4,31," thank you for teaching me values and to be a better person each day i love so much, you`re the best mum in the world",0.041666666666666664,0
a91ca2ffae," *laughs* I`m glad that you have self confidence - it`s a wonderful trait to have  I`ll applaud extra loud for it, okay?",glad,positive,10,10,7,10, i`m glad,0.5,0
1b6380b1b3,Getting ready for week  Its too nice today to be stuck inside working!,Its too nice,positive,8,10,10,10, nice,0.3333333333333333,0
b4d5f1e13e,"Felt like ****, behaved like my son; ate to compensate. Pigged out on home-roasted sugar almonds. Painful tum, threw up, still feel sick.",sick.,negative,36,37,4,7," felt like ****,",0.0,0
80481307d5,Happy Mothers Day people. i love my mom a lot still,Happy Mothers Day people. i love my mom a lot still,positive,4,15,4,4, happy,0.09090909090909091,0
05a0e60f99, I`m sorry to hear that.,sorry,negative,7,7,4,7, i`m sorry,0.5,0
e3cc598980," That`s awesome dude, yay for surprise celebrities!  I got to meet him a few years ago, he was soooo friendly.",", he was soooo friendly.",positive,25,31,4,7, that`s awesome,0.0,0
73fa7068a2," Yep, finished, chocked full of spelling and grammatical errors, but I`m cleaning it up tomorrow and popping it up  hehe",chocked,negative,9,10,9,18," chocked full of spelling and grammatical errors,",0.14285714285714285,0
59e77db781,Watching Ellen Love her!! then doing the dishes  and tanning ...it`s gorgeous out!,.it`s gorgeous out!,positive,17,23,18,23,it`s gorgeous out!,0.5,0
e3731b6ce8, what`s goin on hun?  I`m worried about you,m worried,negative,14,15,12,15, i`m worried,0.3333333333333333,0
b09362ee8e, Im not bannished... but I am at work till 6,Im not bannished.,negative,4,9,4,9, im not bannished...,0.5,0
7b69f49c42,tonight in party w/ my girls (minus vita),tonight in party w/ my girls (minus vita),positive,4,15,4,6, tonight in party,0.375,0
b7a9ba95d0,Dinner with the fam... I have missed them,I have missed them,negative,9,12,11,12, missed them,0.5,0
a54d3c2825," I know   It was worth a shot, though!",as wort,positive,7,8,8,8, worth,0.0,0
c4ab28566e,Ship. I`m stuck.,Ship. I`m stuck.,negative,4,10,9,10, stuck.,0.3333333333333333,0
1594011c6d,Laying in bed til workkk... Oh the life. Definitely pinched a nerve.,Definitely pinched a nerve.,negative,15,20,16,20, pinched a nerve.,0.75,0
ea3320d696,"Before I get too distracted, I`d like to thank my new followers for taking the trouble to follow me! And to my others: feelin the love","Before I get too distracted, I`d like to thank my new followers for taking the trouble to follow me! And to my others: feelin the love",positive,4,35,32,35, feelin the love,0.13636363636363635,0
5680a0b488, u think u have bills Ha!Ii just finished paying mine that`s y I`m broke,I`m broke,negative,20,23,23,23, broke,0.5,0
e9f7f78cfa,mcfly gig last nightt omg it was amazin didnt sit down through the whole thing  mcfly did you see me and ma best mate we were in tutus,it was amazin,positive,12,15,14,15, amazin,0.3333333333333333,0
4c71b5fb91,2 days without sleep and now a migraine. I thought life postR01 was meant to be relaxing,now a migraine.,negative,9,12,11,12, migraine.,0.3333333333333333,0
f1f5e8edfa,I Miss Daddy and Mommy,I Miss Daddy and Mommy,negative,4,9,4,5, i miss,0.4,0
51f4502988,"My dog is officially depressed that my brother`s dogs are gone. He doesn`t want to go outside and when we did, he play half-heartedly.",officially depressed,negative,7,8,8,8, depressed,0.5,0
cd5d081760,seriously bored without anyone to talk to... but not tired enough for sleep,bored,negative,5,5,4,5, seriously bored,0.5,0
58eda20efc, LMAO... Smh!  that one threw me off.,LMAO... Smh!  that one threw me off,neutral,4,15,4,16, lmao... smh! that one threw me off.,0.75,0
2f5c77dfb3, oh nice going!,oh nice going!,positive,4,7,5,5, nice,0.3333333333333333,0
59cb0c3a14, I only do computers. Am hopeless at everything else,Am hopeless at everything else,negative,9,13,9,10, am hopeless,0.4,0
322b61740c,"90 degrees, gross skies, and thunderstorms...perfect match for my mood  lol",perfect ma,positive,14,15,14,14,perfect,0.5,0
9191e574bb,I just stuck my finger down my throat and there are a bunch of bumps on my tongue & throat.,stuck,negative,6,6,6,24, stuck my finger down my throat and there are a bunch of bumps on my tongue & throat.,0.0625,0
1ee0b44db0," ohoh i missed all ur tweets  im gonna have to stay awake all night to see the announcement now, **** time difference",i missed all ur tweets,negative,6,10,7,7, missed,0.2,0
9b388b2cd9,is spending her Saturday morning taking notes for a research essay because some stupid **** recalled the book I`m using. Not fair,some stupid ****,negative,17,19,18,29, stupid **** recalled the book i`m using. not fair,0.2,0
b94aaf845e,Please Review Sunehre Ad Placement  http://tinyurl.com/oow6mk,Please Re,positive,4,5,4,5, please review,0.3333333333333333,0
c1b915d1d5," haha im jewish, i love that one",love,positive,10,10,9,10, i love,0.5,0
12cfc10225,Cant wait to see my boy tomorrow,Cant wait,positive,4,5,4,10, cant wait to see my boy tomorrow,0.2857142857142857,0
81e29d1a0b, aww I miss driving down elmwood,aww I miss driving,negative,4,8,7,7, miss,0.25,0
3773846bc3,Omg Wango Tango was **** AWSOME! I love my baby for taking me,Omg Wango Tango was **** AWSOME! I love my baby for taking me,positive,4,21,15,21, i love my baby for taking me,0.5384615384615384,0
12da1098a2, I`m 25 in december that`s not good at all next big birthday is 30  after 21 it flys by for sure,that`s not good,negative,11,15,14,15, not good,0.6666666666666666,0
38e44e0f32,  This has made my night!!  Way too funny!!,This has made my night!!  Way too funny!,positive,4,13,10,13, way too funny!!,0.2222222222222222,0
b534d768ca,Woo CAVS.  Happy Mother`s Day!,Happy,positive,8,8,8,13, happy mother`s day!,0.3333333333333333,0
a210eda5c9, sorry  friends - I`m swamped with deadlines right now and we have family visiting to boot! No charades for me.,sorry  friends,negative,4,5,4,4, sorry,0.5,0
bba9d463f4,Laying ALONE!! Since Mook`s soo comfy in his f`n play pen. I thought it was ill at first now I don`t have no one to cuddle with...,I don`t have no one to cuddle with..,negative,32,43,4,43, laying alone!! since mook`s soo comfy in his f`n play pen. i thought it was ill at first now i don`t have no one to cuddle with...,0.25925925925925924,0
54a62c239a,I hate the dentist,hate,negative,5,5,4,7, i hate the dentist,0.25,0
ebc8565a98," nothing aimed at you, just joining in...sorry",.sorry,negative,12,13,12,13,...sorry,0.0,0
2c80b2043e, Have a good one,Have a good on,positive,4,7,6,7, good one,0.2,0
1ecbc820d1," yep infact she is popular, miss india 99, talented film actress .... and lot more","she is popular,",positive,8,11,10,11," popular,",0.3333333333333333,0
02e569bee0,Dosen`t Want To Go To Work Tomorrow,Dosen`t Want To,negative,4,9,4,13, dosen`t want to go to work tomorrow,0.5,0
38a6cb940a,I sure do hope it becomes 4:20 this afternoon ...,I sure do hope,positive,4,7,7,7, hope,0.25,0
123fa2ef14,"I have such fantastic friends, including several ones met through here! thanks for being in my life - you are such amazing people!",you are such amazing people!,positive,24,29,7,7, fantastic,0.0,0
8ebbcfcfd1,tamlyn wishes she was as cool as my sock draw,cool,positive,10,10,6,10, wishes she was as cool,0.2,0
301f7824f5,"Yes, I love tea. If that makes me typically English then so be it","Yes, I love tea.",positive,4,9,7,7, love,0.25,0
b53d8f2b09," Si, no bueno  I guess I just don`t entertain him :/",s I just don`t entertain him :/,negative,10,19,11,17, i just don`t entertain him,0.7142857142857143,0
ca57a8830c,both electronic keys stopped working. there is no keyhole! cant get in my car. so much for technology,both electronic keys stopped working. there is no keyhole!,negative,4,15,7,9, stopped working.,0.2222222222222222,0
5010f92b03,Took a shift tomorrow.    I don`t really feel like working right now.,I don`t really feel like,negative,9,15,9,19, i don`t really feel like working right now.,0.625,0
1a88179ebb," I love mine, too . happy motherï¿½s day to your mom , John Taylor  . much love to you, too .","I love mine, too . happy motherï¿½s day to your mom , John Taylor  . much love to you, too",positive,4,31,4,5, i love,0.125,0
60d0bb5840,Slipped up and caught the flu  feeling like poop!,feeling like poop!,negative,10,13,4,13, slipped up and caught the flu feeling like poop!,0.3333333333333333,0
a52203dd88,"i have an urge to play wow but i have to wait 2 weeks til im at my dads! 5+47DAYS TIL MCFLY, im so excited  (L)",excited,positive,34,34,32,34, im so excited,0.3333333333333333,0
e8770f1c78,Ok ... the passengers ... no one is alive ... they`re all dead ... you just don`t know it til the end ... then you cry ...,then you cry ...,negative,31,34,33,33, cry,0.25,0
8a4740ee53,I don`t want to sit at home on prom night. Someone hang out with me,I don`t want to sit at home,negative,4,12,4,16, i don`t want to sit at home on prom night.,0.7,0
2abfe0decb, lol. just don`t ever forget me,lol.,positive,4,5,4,12, lol. just don`t ever forget me,0.16666666666666666,0
7a7228dc2e, Still jealous,Still jealous,negative,4,5,5,5, jealous,0.5,0
754ebd84b4,http://twitpic.com/67qv3 - Me at Forever 21  Ethan couldn`t be there,Me at Forever 21  Ethan couldn`t be there,negative,16,26,22,26, couldn`t be there,0.375,0
0888304834,this week of mine was not easy!  but finally it`s over! (:,not easy!,negative,9,11,4,11, this week of mine was not easy!,0.2857142857142857,0
88d8e96213,   Wow what a beautiful picture... and by the way....I am straight....just wanted to let you know!!!     Bella,Wow what a beautiful pictur,positive,4,8,7,7, beautiful,0.2,0
697887b4a1, you know you want to come keep me company whilst mum`s at her friends for the night  it`s such a nice evening!,a nice,positive,27,28,28,30, nice evening!,0.3333333333333333,0
1a1c392802,cooking with my dad  having lots of fun in the kitchen together,having lots of fun,positive,8,11,11,11, fun,0.25,0
95b9338e05,Bouncing Rush makes me feel nauseous,Bouncing Rush makes me feel nauseous,negative,4,10,9,10, nauseous,0.16666666666666666,0
200f31449b,"  you`re missing out, bb! i`m such a cereal nut, i think i like every kind available.",i like,positive,23,24,24,24, like,0.5,0
3aae3dab5c," That`s just weird... :\  Oh, and what was it you were drawing for me?",That`s just weird... :\,negative,4,11,4,9, that`s just weird...,0.75,0
8415e9b138,Just woke up :o mums singing to her new gn`r cd replacement i bought because im a good daughter,im a good daughter,positive,23,26,25,26, good daughter,0.5,0
e3a441b9eb,"250 miles down, only 1750 to go. Thats ok, u2 on the radio alwas helps.",alwas helps.,positive,22,25,24,25, helps.,0.5,0
2a98bd4240,Good Morning!!! Work and then it`s ESPN`s Sunday night Baseball. hopefully it won`t get rained out,Good,positive,4,4,4,22, good morning!!! work and then it`s espn`s sunday night baseball. hopefully,0.09090909090909091,0
3c8e8d1940,my son got stung by a bug for the first time  his little finger is slightly swollen.,swollen.,negative,21,22,4,22, my son got stung by a bug for the first time his little finger is slightly swollen.,0.058823529411764705,0
9c2b1313af,Why kiss the feet of the people who kick you when you can be anything that you want to?  morning everyone! Hope you have the best day ever,best,positive,31,31,27,33, hope you have the best day ever,0.14285714285714285,0
ee9df322d1,"   Sorry, we`ll try to keep it down.",Sorr,negative,4,4,4,5," sorry,",0.0,0
7082999a93,"According to , a quarter of families under six live in poverty.",live in poverty.,negative,13,16,15,16, poverty.,0.3333333333333333,0
060d8bb5d5," actually, I wish I was back in Tahoe.  I miss it there.",I miss it there,negative,16,19,16,17, i miss,0.5,0
18f60b8879, but my bday is JUNE 19.. this is wack... and ihavent seen any promotions for my bday party  someone better finagle this asap!,wack.,negative,15,17,15,17, wack...,0.0,0
7311789bcc,workin a long day today... hopefully i can make some good tips,hopefully i can make some good tips,positive,11,17,11,11, hopefully,0.14285714285714285,0
151bba80ca,"had a good day driving up mountains, visiting katie, eating chips & fudge and stocking up on lovely smelling soaps",lovely,positive,26,26,6,6, good,0.0,0
72cfb17265," 'organization ...ITIL, forget about people (and so they fail)' preaching to the converted  IT is the people http://tr.im/kWUA",fail),negative,18,19,18,19, fail)',0.0,0
4f6c17bae7, im allergic to cats! my tonsils get swollen and they hurt  what do i dooo?!,im allergic to cats! my tonsils get swollen and they hurt  what do i dooo?!,negative,4,22,16,16, hurt,0.06666666666666667,0
fa1385e537, He says he feels mama tucking him in at night  He`s lonely but getting by. Tomorrow will be tough!,. Tomorrow will be tough!,negative,23,28,27,28, tough!,0.2,0
b41f647910,I miss her alot and its only been one day,miss,negative,5,5,4,5, i miss,0.5,0
74e92f4188, sounds like you all had a great night . i`m glad it was successful,i`m glad,positive,13,16,10,19, great night . i`m glad it was successful,0.25,0
1baeebaf86,"Garden going well, almost all the corn and peas are up, no onions or beets up yet though.","well,",positive,6,7,4,7," garden going well,",0.3333333333333333,0
f383ad9856,Ahhh i`m sqeaky clean and fresh. Even though i`m wearing dirty clothes  I love Two and a Half Men - it`s amazing!,Ahhh i`m sqeaky clean and fresh. Even though i`m wearing dirty clothes  I love Two and a Half Men - it`s amazing!,positive,4,36,32,36, it`s amazing!,0.1,0
afca91dc92, WE Quite Like Worthing its a relaxing place with nice coffee shops and fresh air.. and not too many Oiks,its a relaxing place,positive,9,12,4,11, we quite like worthing its a relaxing,0.375,0
cdcaac066e,"_terrible haha, that was new  the fact that he couldn`t do it should have cost his part. What kind of Spock is that!",he couldn`t do it should have cost his part.,neutral,15,26,4,34," _terrible haha, that was new the fact that he couldn`t do it should have cost his part. what kind of spock is that!",0.4090909090909091,0
781d900e89, Beto`s Pizzeria is on Banksville Rd in I believe the Beachview area... Sorry to answer like 100 years later,. Sorry,negative,23,24,24,24, sorry,0.5,0
8e26c8c6e8,I`m sick and sad .... missing out on Martini Lounge tonight,sick and sad ..,negative,7,10,4,9, i`m sick and sad,0.6,0
8df4e78879,Really wishes he had some spare cash to buy the new Punch Out for Wii,Really wishes he had some spare cash to buy the new Punch Out for Wii,negative,4,19,4,10, really wishes he had some spare cash,0.4666666666666667,0
9843ecd416,"Aw, not going to Toronto anymore.",not going,negative,6,7,4,12," aw, not going to toronto anymore.",0.3333333333333333,0
33596d8109, So sorry to hear about your mom! that really sucks,So sorry,negative,4,5,4,14, so sorry to hear about your mom! that really sucks,0.2,0
82215b50d4,Can`t sleep...so I`m watching HGTV. I`m afraid infomercials are about to take over,Can`t sleep..,negative,4,8,18,21, i`m afraid,0.0,0
3b0e6c2c55,IN PAIN. my big toe got stomped on during the hokey cokeu. it`s throbbing. anyone have any suggestions to heal it?,PAIN.,negative,5,6,4,6, in pain.,0.5,0
d681f0dfbc, haha thanks  its for history and its on how the invention of television has influence america lol,haha thanks  its for history and its on how the invention of television has influence america lol,positive,4,21,5,5, thanks,0.0625,0
5b747a13f6,Shopped til i dropped....come bac sunshine i miss u,Shopped til i dropped....come bac sunshine i miss u,negative,4,16,14,15, i miss,0.25,0
b1fd9116e3," Like your pics, Lucky Girl, again",Like,positive,4,4,4,11," like your pics, lucky girl, again",0.16666666666666666,0
c628741a80, Thank you   I`ve had anxiety issues for years so I think if I can make it through the first couple of days then I will be fine.,Thank you   I`ve had anxiety issues,neutral,4,11,4,33, thank you i`ve had anxiety issues for years so i think if i can make it through the first couple of days then i will be fine.,0.24,0
954ab76021,Feeling loved!  My Mom got me a Nikon Cool Pix for my birthday!!!!,loved!,positive,5,6,4,6, feeling loved!,0.5,0
443d30a0ba,_rc234 haha  yup. but still have a terrible headache and super swollen and puffy eyes! i dont think im going out today.ugh!,terrible headache and super swollen and puffy eyes! i dont think im going out today.ugh!,negative,15,34,15,15, terrible,0.07142857142857142,0
35e2ce08fc,And the Sun is shinning.........at last,Sun is shinning.........at last,positive,6,12,4,12, and the sun is shinning.........at last,0.6666666666666666,0
03f9f6f798,"I don`t think I`ve ever been so tierd in my life.Ugh,goodnight.So sleeping in tomorrow",I don`t think I`ve ever been so tierd in my life.U,negative,4,21,4,16, i don`t think i`ve ever been so tierd,0.7272727272727273,0
